Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,Anna,Anna backchannel actions,Anna backchannels,Bert,Bert backchannel actions,Bert backchannels,Cassie,Cassie backchannel actions,Cassie backchannels,Doyle,Doyle backchannel actions,Doyle backchannels,Erin,Erin backchannel actions,Erin backchannels,Flo,Flo backchannel actions,Flo backchannels,Gemma,Gemma backchannel actions,Gemma backchannels,Holly,Holly backchannel actions,Holly backchannels,Ike,Ike backchannel actions,Ike backchannels,Turn subtype,Turntype,File
00:03:35,00:03:38,00:00:03,,,,,,,"not all the time, but I certainly have used it [a2904]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:38,00:03:40,00:00:02,,,,,,,"quite a lot, and I really like it. [a2905]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:40,00:03:41,00:00:02,,,,,,,And it's bizarre because [a2906],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:45,00:03:47,00:00:02,,,,,,,"probably using about five test strips a day, [a2909]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:53,00:03:54,00:00:00,,,,,,,but [a2913],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:03:54,00:03:55,00:00:01,yeah [a2443],acknowledgement [a3778],yeah [a3385],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:05,00:04:06,00:00:01,Yeah. And you'd help you [a2446],,,,,,um [a2918],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:09,00:04:10,00:00:01,,,,,,,Yeah. Absolutely. [a2920],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:16,00:04:17,00:00:01,yeah [a2448],acknowledgement [a3781],yeah [a3388],,,,"obviously I was diagnosed at nineteen, [a2923]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:21,00:04:22,00:00:01,,,,,,,um [a2925],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:22,00:04:23,00:00:02,,,,,,,so I yeah [a2926],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:25,00:04:27,00:00:02,Yeah. [a2450],acknowledgement [a3783],yeah [a3390],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:26,00:04:27,00:00:01,,,,,,,It's fine. [a2928],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:27,00:04:28,00:00:01,Yeah. [a2451],acknowledgement [a3784],yeah [a3391],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:28,00:04:29,00:00:01,,,,,,,yeah [a2931],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:28,00:04:31,00:00:02,So do you -- do you like the libre? [a2452],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:38,00:04:39,00:00:02,,,,,,,so I probably won't try [a2936],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:39,00:04:40,00:00:01,,,,,,,cause {LG} [a2937],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:40,00:04:42,00:00:01,"Yeah, you might like it too much and then get frustrated cause it's the [a2454]",,,,,,Yeah [a2938],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:44,00:04:45,00:00:01,A little bit [a2456],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:48,00:04:51,00:00:03,"The sensors are about fifty pound each, and they last [a2458]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:50,00:04:51,00:00:01,"The sensors are about fifty pound each, and they last [a2458]",,,,,,yeah [a2943],acknowledgement [a3921],yeah [a3519],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:04:59,00:05:03,00:00:03,,,,,,,"But um yeah they're fifty pounds as well, so you get another [a2948]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:03,00:05:04,00:00:01,Yeah. [a2462],acknowledgement [a3788],yeah [a3395],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:05,00:05:06,00:00:02,,,,,,,"But yeah, no it is, it's really good. [a2951]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:08,00:05:11,00:00:03,,,,,,,desparate um obviously it's not funded. The best thing though is [a2953],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:14,00:05:14,00:00:00,,,,,,,Yeah. [a2955],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:14,00:05:16,00:00:02,"They're really useful aren't they, to know the trend. [a2464]",,,,,,"Really helpful, yeah. [a2956]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:16,00:05:21,00:00:05,,,,,,,"You think, oh I'm going up, so actually it doesn't matter that I'm four point eight or whatever, so [a2957]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:21,00:05:22,00:00:01,Yeah. [a2465],acknowledgement [a3789],yeah [a3396],,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:22,00:05:22,00:00:00,Yeah. [a2465],acknowledgement [a3789],yeah [a3396],,,,Yeah. [a2958],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:22,00:05:24,00:00:02,,,,,,,it's really helpful. [a2959],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:22,00:05:24,00:00:02,Or or you the down arrows. [a2466],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:24,00:05:25,00:00:01,,,,,,,Yes. [a2960],acknowledgement [a3923],yes [a3521],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:26,00:05:27,00:00:01,"Well it's not good, [a2468]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:26,00:05:27,00:00:01,,,,,,,Yeah [a2962],acknowledgement [a3925],yeah [a3523],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:30,00:05:31,00:00:01,take some action before you [a2471],,,,,,Yeah. [a2965],acknowledgement [a3928],yeah [a3526],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:37,00:05:38,00:00:02,,,,,,,"Yeah, so {BR} [a2968]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:38,00:05:40,00:00:01,,,,,,,Yeah. Um [a2969],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:40,00:05:42,00:00:02,,,,,,,"but, I mean technology's amazing now. [a2970]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:51,00:05:52,00:00:01,,,,,,,And that's okay. [a2976],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:52,00:05:52,00:00:01,yeah [a2479],acknowledgement [a3793],yeah [a3400],,,,"Do you know, [a2977]",,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:52,00:05:53,00:00:01,,,,,,,it I'm [a2978],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:53,00:05:54,00:00:01,,,,,,,very [a2979],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:57,00:05:58,00:00:01,it seems a little [a2481],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:05:58,00:06:00,00:00:02,"bit frustrating that, you know [a2482]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:06,00:06:07,00:00:01,they can [a2486],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:08,00:06:09,00:00:01,,,,,,,Absolutely. [a2984],acknowledgement [a3934],absolutely [a3532],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:14,00:06:16,00:00:01,,,,,,,because my [a2987],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:14,00:06:15,00:00:01,yeah [a2489],acknowledgement [a3795],yeah [a3402],,,,because my [a2987],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:16,00:06:18,00:00:02,,,,,,,um H B A one C was really good. [a2988],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:22,00:06:24,00:00:02,,,,,,,to prove yourself [a2991],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:26,00:06:27,00:00:01,,,,,,,bizarre. [a2993],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:27,00:06:28,00:00:01,,,,,,,Um [a2994],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:28,00:06:28,00:00:00,,,,,,,but [a2995],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:29,00:06:30,00:00:01,,,,,,,It is [a2997],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:37,00:06:38,00:00:02,lack of sleep and sort of [a2495],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:47,00:06:48,00:00:01,,,,,,,So is [a3004],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:06:51,00:06:52,00:00:01,"yeah, so, so he has the sixty fourty G and it has it [a2500]",,,,,,like how would that [a3007],,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:01,00:07:01,00:00:00,,,,,,,Right. [a3010],acknowledgement [a3942],right [a3540],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:01,00:07:06,00:00:05,"Yeah, so so the sensor works more accurately with the sixty fourty G. And [a2505]",,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:06,00:07:07,00:00:01,sometimes he's [a2506],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:09,00:07:10,00:00:01,spot on to what his like sensor reading is quite often or there's just a little [a2508],,,,,,yeah [a3011],acknowledgement [a3943],yeah [a3541],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:11,00:07:11,00:00:00,spot on to what his like sensor reading is quite often or there's just a little [a2508],,,,,,yeah [a3012],acknowledgement [a3944],yeah [a3542],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:15,00:07:15,00:00:01,"Yeah, but always [a2510]",,,,,,like a tiny bit difference. yeah [a3014],acknowledgement [a3947],yeah [a3756],,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:18,00:07:20,00:00:02,it's got this thing called smart [a2513],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
00:07:23,00:07:24,00:00:01,the basal rate. [a2516],,,,,,,,,,,,,,,,,,,,,,,,,,,other [a2344],other [a2335],20170117_Anna-Cassie_Healthcare_backchannels.eaf
