utterance,hedge,L_context1,L_context2,R_context1,function,ID
". The manufacturer said she was having the problem there . It 's only a small body kind of thing . what 're they gon na have to order ? Behind . She said , the part they were",kind,JJ,NN1,NN1,propositional,PS03W_1994
"it comes from . So she went with the architect and he was wanting to show us this kind of and we were like , were cold and were back to the hotel , we did n't even go into the",kind,PPIO2,DD1,CC,propositional,PS03W_1994
yeah that 's a good way to think about it you know whether that 's in language teaching or whatever it is yeah I still want that IN woohoo kind of a feeling of money I was like yeah me too yeah I work in publishing what do you expect ? yeah like no I 'm making no money yeah erm so yeah,kind,that,NN,DT,propositional,PS03W_2014
London ? oh I do n't know will you wanna move to London ? dunno depends on the job if I wanna do what I 'm probably gonna stay in the same kind of that field for now but it 's all technical and numbers and like I do n't know you mean you 'd want to move back to ? dunno but i they never,kind,DT,JJ,DT,propositional,PS03W_2014
"They make up the words themselves , right Yeah whereas Paul 's an the been having some kind of direction there , has n't he , I mean at Yeah . however nauseating , it does all make sense ,",kind,VHG,DD,NN1,propositional,PS03W_1994
"seem to be mainly , sort of , business programmes or alternative my one was , sort of , how to keep the customers happy . Doing the bus conductor , do you remember",sort,VBDZ,YCOM,YCOM,pragmatic marker,PS03W_1994
"it , the aim was to prevent AIDS no matter what you were doing , and not to have any kind of prejudice against what you were doing as long as the aim It 's also in support of the nuclear",kind,VHI,DD,NN1,propositional,PS03W_1994
"so , I said I think he 's , you know , I , I 've heard that , you know , he seems a quite sincere kind of bloke , he seems nice but I do n't know that 's what I think but if he What did Kirsty",kind,RG,JJ,NN1,propositional,PS03W_1994
"her cheeks . Hypocrite Charlotte . Yeah and Charlotte 's cheekbones seem to kind of descend from up , up by her temples as opposed to Are you all going ? Yeah . Apart from me .",kind,VV0,TO,VVI,pragmatic marker,PS03W_1994
"well then somebody else came and drove in behind me and the car in front then was sort of , oh yeah , then somebody else came and reversed in in front of him , so the car",sort,RT,VBDZ,YCOM,pragmatic marker,PS040_1994
bitter . Is she ? Why Well is she bitter ? well she 's had a miserable life of her own kind of thing . She 's not married ? Does n't like Sir Mark . Her husband left her . Oh . Does,kind,APPGE,DA,NN1,propositional,PS04U_1994
is . No one has ever said . Any more . On the rare occasion that it comes up she kind of laughs it off and says well it was n't really a marriage . And just change the,kind,RP,PPHS1,VVZ,pragmatic marker,PS04U_1994
". . when Angela 's form , I mentioned that and the woman says if you 're in any kind of forces , you are exempt . When I went in with Angela 's form Well they were because",kind,II,DD,NN2,propositional,PS04U_1994
we used to do well it 's like my pottery and things seed pods and cross-sections and all of that which was late sixties erm but it kind of had been and gone by the time you got to do yours probably well maybe and was n't considered it was n't considered a thing to do a,kind,CC,PP,VHD,pragmatic marker,PS04U_2014
January ? I do n't rea the things the place we walked round I do n't recall remembering any of it from that trip though well it is kind of a bit difficult to I mean it 's all kind of flat and looks the same really yeah d we did we go past the centre ? I do n't think they had,kind,PP,VBZ,DT,pragmatic marker,PS04U_2014
a feeling that you we had heated containers that you had your dinner out of or else they they put these on the table for the eight to kind of help themselves I suppose it was encouraging table manners oh I do n't know cos was always er keen to finish off the the tray mm mm the,kind,CD,IN,VV,pragmatic marker,PS04U_2014
going to go in town for shopping or yes you know you have to go right up road to get a range of shops all the shops they 're they re all kind of around there they 're all within not exactly walking distance because you 're not meant to walk around there really no but there 's a,kind,VBP,DT,RB,propositional,PS04U_2014
she used to make it mm but er did you see things in magazines or shops ? how did you get your ideas ? or did you just do them you did you kind of know what people had and make one up ? well I kind of saw bits of things I liked and made one up really mm erm cos I kn I well it 's the same,kind,VVD,PP,VV,pragmatic marker,PS04U_2014
nylon or am I rude about it ? with a printed erm well it 's kind of like that but it was had a slightly erm velvety but it it was a kind of stretchy material and it was like a erm a big T-shirt only not like they wear now that 's flappy with the off the shoulder it was erm a properly,kind,VBD,DT,JJ,propositional,PS04U_2014
they get lots and lots of layers of synthesiser and stuff in them and it can be it can be hard to replicate all that on stage yeah what kind of er ones are you doing nowadays from the from the charts ? er I do n't think we 're doing anything that 's terribly current erm when,kind,RB,WP,NN,propositional,PS04U_2014
no do n't worry I 've got them it 's fine so we worked through the night just putting stitching together some extra stuff that IN we kind of had in a lot of people are like oh so when are you going to move in together ? it 's like actually no we know that at some point we have,kind,that,PP,VHD,pragmatic marker,PS04U_2014
to the surface which it kind of does yeah then you 've got to integrate it but the book's kind of like yeah and the idea is that IN you kind of let it in the end yeah I 'm so sorry about that no no no I 'm just like I think it 's more I think it was like I said to you I was like I 'm so,kind,that,PP,VV,pragmatic marker,PS04U_2014
it was n't for the police or whatever to I know how he landed or anything oh yeah it 's quite cool though is n't it ? like quite iconic JJ IN kind of body lying that,kind,that,that,NN,propositional,PS04U_2014
cossie and we were all gutted so between us we managed to sort of find some big pants that were black and like a big erm vest thing NN IN sort of goes under at about nine and was like yeah I 'm good I 'm just and then I booked my train tickets cos they 'd I forgot I had to do it before I,sort,that,that,NNS,pragmatic marker,PS04U_2014
body you make your body do stuff that it does n't normally do yeah like we 're doing at the moment and it 's only afterwards that IN you sort of like get is n't it ? so it 's easier to like there 's more going on uhu and then it 's it 's easier to have it 's yeah and the shopping is,sort,that,PP,VV,pragmatic marker,PS04U_2014
"peeling , look , they 're all cracking up . Oh well , I 'm not surprised . You do , sort of , put them under wear and tear . I walk with them ! Oh dear ! I sprayed my hair ! I",sort,VD0,YCOM,YCOM,pragmatic marker,PS04Y_1994
and it was perfect for him being down the road from and the kids and having the flexibility to go and do it I mean I d I doubt he gets VVZ IN sort of flexibility with you know when you 're looking for so long and then if you do n't go you in the end you 're just gonna be well annoyed yeah but,sort,that,that,NN,propositional,PS051_2014
everybody I 'm generalising now cos I just said everybody that 's not true but erm a lot of people erm do n't like the fact that IN these sort of festivals you is rea I I did enjoy it but yeah I think as we did n't spend that much time in that many pla like that long and in that many,sort,that,DT,NNS,propositional,PS052_2014
less so every night he was waking up at the same time between four or five o ' clock really really bad pain like he was in labour NN IN sort of strength of know they 've just taken that on board erm I think some of the reactions have been positive I know that who ? oh sorry yeah,sort,that,that,NN,propositional,PS052_2014
yeah she she was on pay as you go and ten quid lasted her for a year oh wow and she never used her phone oh god okay yeah so yeah so she kind of messaged me be like oh you know we 've driven out to this random town hall in the middle of nowhere somewhere but it 's really pretty,kind,IN,PP,VVG,pragmatic marker,PS05B_2014
birthday cos I was a bit like oh yeah I was you know like I was saying to her oh I do n't want her to think that it 's all about me and I kind of want it and give her her presents and stu like that and what have you yeah but it 's like well no I 'm just like you know hey now oh that,kind,CC,PP,VV,pragmatic marker,PS05D_2014
it plainly I said look you know you 're gonna have to grow to like her one day cos she 's not going anywhere sure but also it s that kind of thing where you know it it 's that kind of thing where I said you do n't have to love each other no no no at all you just have to er respect,kind,VBZ,DT,NN,propositional,PS05X_2014
the side of it was just gross oh erm luckily yeah yeah yeah it wa cos I 've had concussion before but that was when I was a lot younger I kind of blacked out I did n't black out but I swear I must 've blacked out at some point yeah but lots of rugby players get concussion from like,kind,JJR,NN,VVN,pragmatic marker,PS05X_2014
cos obviously we 've got then we 've got two weeks in the middle mm then it 's and then it 's kind of that Christmas and it 's just that kind of thing I ca n't be saying to work that I 'm knackered and exhausted if you keep going away if it 's one week the next yeah the one after,kind,RB,DT,NN,propositional,PS05X_2014
him but then it 's kind of like well you know what ? like it was getting to the point where when when he got this job he was like and I kind of brought up the question I was like so how much is it you 'll be earning ? and it was ten grand more than me and I was like I do n't have a,kind,CC,PP,VVN,pragmatic marker,PS05X_2014
else but that that 's what I love about them that 's why my band 's like that because and also love them yeah that 's why it kind of works it really ? we all love them we all improvise loads live and not many other bands do that sort of thing so I think that 's the,kind,WRB,PP,NNS,propositional,PS05X_2014
use your finger he said and he got excluded for it yeah but she were like proper immature sort of teacher and because of it like they kind of let her off sort of thing but like it was n't like it was n't like she was being dirty or being weird she was just really stupid yeah,kind,VVP,PP,VV,pragmatic marker,PS05X_2014
Yeah . how come you 're back in ? It 's just different people are n't they ? Just sort of a bit Oh well so all we 've really got ta do now then is just get out and do a shop,sort,YQUE,RR,RR21,pragmatic marker,PS065_1994
like I was telling you earlier so I went into like economics and then there 's a literature section and a science section but it kind of put me off going through there because obviously you learn everything in detail in French and I there 's still stuff today that,kind,CC,PP,VV,pragmatic marker,PS065_2014
what ? it 's an actual bish ? yeah and it 's so ho like horrendous the bishop keels over what is it ? I ca n't remember he 's like well all sort of his about all his sort of like erm sort of sexual deviance in his youth and sort of it just gets worse and worse it 's like animals and I,sort,RB,DT,PPZ,propositional,PS066_2014
"had Joey the clown and Mr Nuttey , she said oh I 'd like them , but Sue said she went sort of a bit earlier and see how they got on and eh , she said oh it was n't the same at",sort,PPHS1,VVD,RR21,pragmatic marker,PS066_1994
and there have been times in my life when that 's a fantastic thing keep it rolling let 's go yeah yeah yeah but for the most part I kind of think actually no I do n't want to be in that scene yeah it 's not such fun I do n't know I kind of think drugs are better from that viewpoint,kind,NN,PP,VV,pragmatic marker,PS06A_2014
the first of February ? it 's a Monday okay well I have n't got any students on a Monday right so breakfast cherry liqueur no I I kind of think now all of my friends here in this country you know good friends do n't care if I 'm drunk or sober and the ones who want me to get,kind,NN,PP,VV,pragmatic marker,PS06F_2014
nice yeah and they both live in now teaching er she hates it and wants to move to the sunshine I can understand that bit er and he kind of likes it ah erm but they 're talking about moving sh cos she lived in Portugal before she moved here wow and she wants to go back to,kind,CC,PP,VVZ,pragmatic marker,PS087_2014
around the town yeah see my friends or whatever erm I 've gotta say Poland is n't easy no yeah erm it is if you think erm if you kind of get in your head nobody's thinking anything about me nobody 's judging me and once you get that in your head you 're fine you can,kind,IN,PP,VV,pragmatic marker,PS087_2014
out to overtake at the last possible minute and you get in again at the l yeah at the s the first available opportunity so you re kind of cutting vehicles up as you 're pulling in and you 're almost sometimes pulling out in front of people b but that is expected mm so you know I,kind,PP,VBP,VVG,pragmatic marker,PS087_2014
was skiing yesterday being right up at the top after we 'd uhu been up a few stair lifts and stair lifts ski lifts and erm yeah they kind of came out of the clouds mm and revealed themselves beautiful nice house all alone cold house house well do n't want to speak too,kind,RB,PP,VVD,pragmatic marker,PS087_2014
was one probably erm mm Bat Baratin what ? Baratin Baratin B A R A T I N this is too frozen maybe these are the new ones what is the place kind of an incredibly famous old one ? I do n't think le Baratin I think that 's only fa like famous in new famously rather right cos the woman in,kind,DT,NN,DT,pragmatic marker,PS087_2014
non-binary you 're not either if or you 're somewhere in between yeah or jus oh er binary yeah as in both I think we re all kind of both and neither yeah exactly yeah I mean you know physiologically speaking yeah most people can be defined by one or the other,kind,VBP,DT,DT,propositional,PS087_2014
it is an expression uhu whenever someone says it 's an idiom I think it 's an idiot I do n't know what knock it till you 've tried it kind of actually originally means what other weird phrases do we know ? erm my teachers said I was young once that 's not a weird phrase is that because,kind,VVN,PP,RB,pragmatic marker,PS087_2014
like come on they 're so heavy like literally yeah that yeah and the weights as well so he 's got those which the they look nice but kind of a bit impractical mm that yeah that would cost yeah yeah but I think they do like nice yeah but then you 'd need like quite a like a,kind,JJ,CC,DT,pragmatic marker,PS08A_2014
that means maybe it 's a the Polish is ? ? ? or ? maybe it 's what did you have with cabbage the other day ? the oh that was lovely that was kind of rice in yeah I know cabbage leaves in cabbage I do n't think it 'll be that with a tomato sauce no I do n't think it will I do n't think,kind,DT,VBD,NN,pragmatic marker,PS08Y_2014
more than look around me so I think there were probably about five at the back six seven eight plus the teacher okay all women all kind of thirty to sixty uhu teacher woman I 'm sure she 's older than me but oh my god what a body and how fit is she ? mm she 's amazing and the,kind,NNS,DT,CD,propositional,PS08Y_2014
tips for girls in the twenty-first century ? no I have n't right well my dad has what ? um and he felt the need to er we were in a restaurant and sort of after the third bottle of wine between the four of us um w we er he fell to discussing the fact that he 's recently found this,sort,NN,CC,IN,pragmatic marker,PS08Y_2014
reminds me um after lunch I 've got something to show you from work um I 've been doing a lot of electronics recently much to my sort of against my will but um I 've been doing all sorts and like I now know er my soldering has been improving no end and and crimping and what,sort,IN,PPZ,IN,pragmatic marker,PS090_2014
cooking is that they 're they 're more likely to kind of enjoy it if they 've made it themselves mm that 's what they say you know that kind of contributing to the process I 'm not quite sure about that if you do like it then it 's nicer if you 've made it but if you okay if it tastes,kind,VVP,DT,VVG,propositional,PS091_2014
one well they I was thinking they might have one allocated like erm like when you were at primary school there was a like your your kind of priest bloke who was n't you know he so he 's kind of comes in regularly but he 's not you know does n't live there or whatever of course he,kind,PPZ,PPZ,NN,propositional,PS09U_2014
then anyone else can and so the well the choices we 've got are really really really completely secure stuff like there s well kind of the where we 're ending up and that mm and also enables people to trade and do onliney stuff whereas if I did n't trust my phone to be,kind,VBZ,RB,NP,propositional,PS09V_2014
under compressed air conditions so er oh right and er because it was under the Thames right ? yeah course it they had er it was sort of all the air in there was compressed air yeah not much you know but it was er above atmospheric pressure yeah and I said to this guy,sort,PP,VBD,PDT,pragmatic marker,PS0A8_2014
young can you do it ? well is there an age ? ' s little sister does it and she 's like nine and she 's technically too young but she s kind of like knows what she 's doing cos all her family do archery as well well maybe cos all her face her family do archery as well yeah but,kind,PP,VBZ,JJ,pragmatic marker,PS0A8_2014
do lots of complicated tech work these are kids who like to stack shelves and so there were three of them erm making boxes where you kind of have to fold the boxes together and put the insert in and they 're all there and they were loving it absolutely loving it so a,kind,WRB,PP,VHP,pragmatic marker,PS0AA_2014
stupid the average person is right ? right and then just picture the fact that half of the people are more stupid than that it s kind of bad is n't it ? mm we all know where falls what ? are you being rude darling ? are you being rude ? no just pointing out how clever is,kind,PP,VBZ,JJ,pragmatic marker,PS0AA_2014
force yeah yeah and of course it then sucks all this other stuff in because it 's got such a high gravitational force yeah and it sort of all all the stuff collapses into this really really really dense centre which makes an even high greater force you know what I,sort,CC,PP,RB,pragmatic marker,PS0AC_2014
yoghurt or whatever it 's called ? er yeah thanks mum that was really nice today thank you it was kind of in a sort of sausage and mash kind of way nice was n't it ? mm so well we 'll do then well obviously as well but I think actually you 'll probably come round a bit can you,kind,CC,NN,NN,propositional,PS0AJ_2014
got deposed mm he has another run for presidency every five minutes though then the place is absolutely corrupt through and through kind of and there s the mafia to contend with do n't forget that mm to be fair actually er one of the things in the russian textbook is about,kind,CC,IN,CC,pragmatic marker,PS0AJ_2014
know j it was just to her friends and it kind of instantly went viral to like forty thousand people gosh and it 's a bit well it s kind of interesting she said she had like did n't really expect and anyway apparently the boy's got lots of erm offers to go for a coffee with him,kind,PP,VBZ,VVG,pragmatic marker,PS0BK_2014
sorry that 's alright shall I move it ? er yeah stir it move it erm yeah just turn er turning it so it 's slightly brown on all sides kind of looking like that looking like the picture oh do you have sugar ? yes I do erm brown or white ? er what do they say ? does n't say probably,kind,DT,NNS,VVG,pragmatic marker,PS0BL_2014
more mm which ? like if you had a morning like a for your morning one you 'd be more like erm the main in other schools in other schools I kind of get it because you have in other schools you 'll have three hours in the morning and an hour and a half in the afternoon whereas at,kind,NNS,PP,VV,pragmatic marker,PS0BL_2014
I ca n't find anywhere to put it mm and I remember that I do better and earn more points when I 'm looking at the board it 's not actually kind of relating it all together again I think I 've got the spelling right I wonder mm I 'm not sure spell and I 'm also not sure if it 's can I have,kind,RB,RB,VVG,pragmatic marker,PS0BY_2014
and I actually wish that I had gone and joined the erm the g can you not join it now ? yeah yeah I 'm sure I can yeah I do n't know I just kind of got a bit erm I did n't get bored of it cos they 're awesome just I got erm tired ? I do n't know a little bit sidetracked but a lot of,kind,PP,RB,VVD,pragmatic marker,PS0CG_2014
to get some face products yeah it was very exciting yeah so you should getting the perfect manicure and pedicure she 's like some kind of god of the good stuff for your skin yeah s beauty and motherhood oh yeah that 's the chapter I need to read you need to read this you,kind,IN,DT,NN,propositional,PS0CG_2014
gonna have you 're gonna have a celebration here as well are n't you ? either before or after ? yeah yeah yeah but basically I ve kind of said to people the first dilemma was when I was saying I really wanna go to Venice you know and if by the time I 'm forty if I have n't,kind,PP,VHP,VVN,pragmatic marker,PS0E8_2014
she probably asked too many just a yes or no concept questions yeah okay and something like that so I do n't know yeah but so she kind of said this is what I want to look at oh okay and did a little mini projecty thing on there then what did they say about action research,kind,RB,PP,VVD,pragmatic marker,PS0E8_2014
the managers there 's no reason why they should n't say you all have to do this this this mm and this yeah because if you thi it is kind of taking responsibility it saying we care what goes on what the managers and also taking responsibility ? makes it easier to a certain point for a,kind,PP,VBZ,VVG,pragmatic marker,PS0EB_2014
to deal with misconceptions for some really weird reason because yeah I do n't quite know why it works like that but it s kind of almost like saying tell me what you do n't know and tell me why you do n't know it 's it 's a really different way of learning it 's like a,kind,PP,VBZ,RB,pragmatic marker,PS0EC_2014
have by your sink yeah and they do hot water cold water or or boiling water instantly now how they do that that 's just must be some kind of special electri electricity thing they go through I do n't know okay if it 's a Hadron Collider spin off well I yes it could be yeah this is,kind,VB,DT,JJ,propositional,PS0FG_2014
a tearful Higgins yes was brought on with a chil brought on a child ? his his child was thrust into his arms you know it 's and that kind of thing and and this was in the Crucible on a sort of a bank holiday Monday that 's ri midnight or something like that you know smoke and,kind,CC,DT,NN,propositional,PS0FL_2014
I I I do n't think he 's been patronised er Panesar it now looks as if Panes well I think Panesar was patronised but he was a different kind of character it looks as if there were demons in Panesar's background from what we right now know oh is that right ? but er I did n't know,kind,DT,JJ,NN,propositional,PS0FP_2014
that side pulled out shelves to put up sideboards to pull pull to pieces there 's loads of work to do yeah wood to cut yeah it s getting kind of crunched up a bit at the moment well you 've stuck everything on top of the things oh I did n't I 've been labelling everything you ai n't,kind,VBZ,VVG,VVN,pragmatic marker,PS0FP_2014
that I think it 's I think it 's a food I think I 've seen it written somewhere anyway it 's because erm knew about gypsy tart he was sort of almost well he was at school in mm even though he lived in I mean he was born in but they lived in when mm by the time he was at in school age,sort,PP,VBD,RB,pragmatic marker,PS0FP_2014
points you have to get like a thousand points or something oh I see oh right so we only eat McVitie's biscuits anyway so I kind of stocked up but they went so we 're supposed to go out and buy ten but they went quickly ten at a time yeah and bring them back and take the,kind,IN,PP,VVN,pragmatic marker,PS0FS_2014
type thing Cunard building they were one of the biggest people transporting they had children to other countries and you kind of think okay did they make their money out of that ? yeah you know yeah you know so that was interesting and then we went through the,kind,CC,PP,NN,propositional,PS0FS_2014
then she pulls in and of course then his car comes and overtakes her and I 'm thinking mm yep okay I know why I d have cos in the past this kind of sh I ll take you in and er and I knew from years ago that 's what it was like so I do n't mind going fast I 'm quite happy going fast,kind,NN,DT,NNS,propositional,PS0FS_2014
the tune mm you know you you actually the top bells play the tune and the harmony 's coming in lower down so if you know the carol you kind of know when you 've got to play yeah because you can hear what your bells are doing mm but she ca n't she can not get it erm her friend 's,kind,NN,PP,VV,pragmatic marker,PS0FS_2014
next I think it 's got quite a lot to do with that and like vast amounts of ecstasy yes erm no she lots and lots of that there 's a bit kind of there s a bit that 's just been completely cauterised by mm drug abuse mm well that 's a great one to know well that 's a precedent,kind,DT,NN,EX,pragmatic marker,PS0FS_2014
and Maths yes yeah yeah so that would become the gold standards you must you must get it in English and Maths yeah yeah so it s all kind of changed but you 're thinking alright so we 've got three weeks to do this course beginning of the week we were told we ca n't do it oh,kind,VBZ,DT,VVN,propositional,PS0FS_2014
back how it was or I 'll go home and do it myself oh my god and she said erm they were alone it was it was the middle of the night they were kind of alone in the hospital in that area of the hospital and the three women and this man was really threatening and erm so they they had,kind,PP,VBD,RB,pragmatic marker,PS0FS_2014
yeah but she 's worked her way up now she 's his nurse they 're a brilliant team I 've got a wisdom tooth coming through but it s kind of embarrassing cos it 's now you will be wise it 's a bit sideways no all the others I 've had this is my last one oh right cos you either get them,kind,PP,VBZ,JJ,pragmatic marker,PS0FS_2014
else in other places yeah course you are you can go somewhere else to start off with you know yeah so mm so that 's what we ve kind of said so if I can get it well if I can find somewhere before the what about ? is there nothing up there ? yeah there 's lots of there 's,kind,PP,VHP,VVD,pragmatic marker,PS0FX_2014
nothing about it there there 's too many people what did they call it ? er too too many chiefs and not enough ai n't it ? mm so you kind of think oh well but he I he just he just cr you know and I er the the only message that I took from that meeting was you 're stopping us exp,kind,IN,PP,VV,pragmatic marker,PS0FX_2014
houses to stay and a du and a duck pond they think they can do all this sort of business but the thing is if that 's what this is what k kind of grates in some respects if that 's what you can claim and it 's written that 's what you claim why moan about it ? yeah yeah yeah that 's,kind,WP,NN,NNS,propositional,PS0GT_2014
n't got but he has two pictures on his door and I 've always wondered who who takes them yeah ? so we always have a chat and we we kind of spoke about football and stuff like that and so on he 'd got a nice picture of some motorbikes at park and he 'd got a picture of a,kind,PP,PP,NN,propositional,PS0H9_2014
up to anyway right you know so although we were we were totally on our own doing it erm but they came back in the evening so they s kind of saw little bits and when they checked it up booking and and check people out and yeah talk to people and then erm when they do all the,kind,PP,VVZ,NN,pragmatic marker,PS0H9_2014
again so yeah that really upset me that did that did yeah all that for nothing yeah it 's a shame cos when people do that then you re kind of a bit wary of doing it for someone else are n't you ? yeah oh yeah yeah yeah there was a little old lady across the road I I moved her,kind,PP,VBP,DT,pragmatic marker,PS0HM_2014
it 's about intaking something because you think life's more fun with it that 's killing your body but the thing is for me it is kind of like whilst I 'm in the system like if I lived in India I mm or somewhere or even like here and I was n't like being as social I I wou I 'm not,kind,PP,VBZ,JJ,pragmatic marker,PS0HN_2014
nice looking were they ? no no I heard now where did I hear this was the a few years ago someone was talking about I think it was around sort of around about the Hundred and One Dalmatian or hundred and mm yeah film and somebody was wondering mm what would happen in the Ke not,sort,VBD,IN,RB,pragmatic marker,PS0JJ_2014
fifty a month seven fifty you have got a little balcony though have n't you ? it 's the cheapest place we could find mind you that s kind of like London prices is n't it ? it 's cheaper than London my friends my friends paying my friends in is paying fifteen hundred a month,kind,WDT,VBZ,JJ,pragmatic marker,PS0JX_2014
and I was quite jet-lagged so I did n't feel too yeah yeah you were great with him he was he was just very full on and now he s just kind of relaxed  s here you know it 's kind of like it 's chilled out more yeah you off to the toilet ? do n't trip over the toys so now it 's just,kind,VBZ,RB,VVN,pragmatic marker,PS0JX_2014
their obviously holding their breaths f and and erm and righting themselves very quickly erm yeah they 're all erm they re actually sort of as you can see they 're they 're actually really covered in these little canoes are n't they ? well not yeah they 've got these,sort,VBP,RB,IN,pragmatic marker,PS0KN_2014
banker's draft or whatever well they obviously the the breakdown of your er er your mum's and I's marriage forged you to be the kind of person you are now you would 've been different er like is different before this w was very extrovert mm you were not you were you were,kind,VB,DT,NN,propositional,PS0KN_2014
ha a third of the population is international yeah that study there which is pretty high which 'll suit you cos you 're you re kind of geared up for erm one one in three people it pushes their international ranking se er seems to beat in the national rankings mm but,kind,PP,VBP,VVN,pragmatic marker,PS0LK_2014
which is a curvature of the spine a bad one erm his brother is a six-footer plus big strong jaw erm the er the bit where obviously they kind of think mm is that their father the king was in France for thirteen months so er sorry eleven months so the gestation sh she got,kind,RB,PP,VVP,pragmatic marker,PS0LK_2014
thing where instead of going to a counter you get like a number and you can go and sit and they 'll bring you tea oh nice and all this kind of stuff and then you go up to a counter and then you sort your things out and then you you 're done so that service has come I guess what I,kind,RB,DT,NN,propositional,PS0LL_2014
of you that thinks I feel bad because I 'm persuading him to leave a very good job to go to an equally very good job where it 's more about kind of career progression rather than just sitting on er like sitting safe at until he retires yeah but then h so I I kind of felt bad for that but then I,kind,JJR,IN,NN,propositional,PS0LM_2014
and she was the only English person that worked there everyone else was like I do n't know where the like from India like the kind of erm Eastern Europe like all that kind of part of the world they what they made them do was completely illegal like they worked insane,kind,IN,DT,NN,propositional,PS0LU_2014
the skills and I love it so yeah I can help out with that over winter I just thought that 'd be really nice and they had lots of places sort of between the mountains and the sea so it seems if you believe you know the distances that they 've yeah yeah yeah yeah put on their,sort,IN,NNS,IN,pragmatic marker,PS0M4_2014
why they were thinking about it no it 's sensible except when you pointed out you know it made it very difficult for people with kids sort of between ten and twelve to go to the cinema because there was very little they could see mm they did n't want to see the PGs yeah but fifty,sort,IN,NNS,IN,pragmatic marker,PS0M4_2014
a yeah yeah oh so good to see you I know it 's kind of surreal that we 're all here I know it does it feels in Brighton it feels lovely finally kind of see you together yeah yeah yeah I know it 's been difficult that 's what my parents said you know getting obviously when you come,kind,JJ,RB,VV,pragmatic marker,PS0MA_2014
yeah gives the impression of space yeah it does it really does erm knife where are they ? here ? yeah yeah yeah yay was it nice kind of unpacking and er mummy my legs are just like sorting everything out ? everything out yeah yeah kind of like seeing your home come,kind,PP,JJ,VVG,pragmatic marker,PS0N4_2014
possibly move it back it 's a nice frame thank you guys really that 's a massive thing to load up here for what three years ?  s kind of like yes yeah we know you still get a bit of it back we can take this back yeah just a reminder I mean do you want us to hang onto that ? so,kind,',JJ,VV,pragmatic marker,PS0NB_2014
to right tuck in you have to put the reds to mine some honey jam cream right I 'm just gonna have a scone now with and so do you want to kind of make a pattern out of with this ? your tea is red bush oh perfect yeah thank you very much do you take any sugar or anything ? no no,kind,VVP,IN,VV,pragmatic marker,PS0P0_2014
sure they know that you 're living your life yeah yeah and enjoying it and er it 's tough for parents cos they want you want your children kind of close by but you want them to live to live their life as well live their dream and as well yeah and it 's kind of like what is it that,kind,PPZ,NNS,NN,propositional,PS0PP_2014
"queen , Yeah but would n't take an oath for god so they would n't let her in . You know sort of eleven years old , she said I 'm , I 'm god , its not been proved to me , its not been proved",sort,PPY,VV0,MC,pragmatic marker,PS0PP_1994
is all recycled stuff yeah I suppose it is yeah when you look at it they 're sort of like it 's got to be really has n't it ? grey it s sort of compressed grey stuff yeah yeah when you look at it and you shred it all up there 's all sorts of stuff i ' n ' t there ? yeah yeah then they do,sort,PP,Z,JJ,pragmatic marker,PS0PP_2014
"n't need a cloakroom then ? No . But more in , but what it was we when I was in here , sort of five days a week , nine to five job Mhm mm . it was getting depres it was getting",sort,RL,YCOM,MC,pragmatic marker,PS0S0_1994
